,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
6/30/2019,VZ,32.071 B,12.721 B,0,283.108 B,273.751 B,1.167 B,4.138 B
9/30/2019,VZ,32.894 B,13.384 B,0,284.875 B,254.945 B,1.538 B,4.138 B
12/31/2019,VZ,34.775 B,15.631 B,0,291.727 B,263.005 B,1.422 B,4.138 B
3/31/2020,VZ,31.610 B,12.296 B,0,294.500 B,242.450 B,1.633 B,4.139 B
6/30/2020,VZ,30.447 B,11.749 B,0,293.259 B,239.257 B,1.289 B,4.139 B
9/30/2020,VZ,31.543 B,12.334 B,0,296.994 B,243.918 B,1.457 B,4.140 B
12/31/2020,VZ,34.692 B,14.822 B,0,316.481 B,281.868 B,1.796 B,4.143 B
3/31/2021,VZ,32.867 B,13.522 B,0,345.573 B,286.114 B,1.303 B,4.141 B
6/30/2021,VZ,33.764 B,14.255 B,0,349.190 B,313.655 B,1.421 B,4.141 B
9/30/2021,VZ,32.915 B,13.528 B,0,353.457 B,312.586 B,2.303 B,4.142 B
12/31/2021,VZ,34.067 B,14.996 B,0,366.596 B,325.165 B,3.055 B,4.169 B
3/31/2022,VZ,33.554 B,14.350 B,0,365.716 B,295.980 B,3.659 B,4.201 B
6/30/2022,VZ,33.789 B,14.420 B,0,370.147 B,298.610 B,3.646 B,4.201 B
9/30/2022,VZ,34.241 B,14.601 B,0,375.090 B,302.618 B,3.133 B,4.202 B
12/31/2022,VZ,35.251 B,15.762 B,0,379.680 B,328.471 B,2.388 B,4.205 B
3/31/2018,T,38.038 B,7.932 B,0,446.343 B,299.267 B,0,6.161 B
6/30/2018,T,38.986 B,7.632 B,0,534.691 B,350.561 B,2.313 B,6.351 B
9/30/2018,T,45.739 B,8.651 B,0,534.870 B,356.819 B,2.310 B,7.284 B
12/31/2018,T,47.993 B,23.309 B,0,531.864 B,416.994 B,2.771 B,7.303 B
3/31/2019,T,44.827 B,20.739 B,0,548.384 B,348.035 B,0,7.313 B
6/30/2019,T,44.957 B,20.512 B,0,546.914 B,344.652 B,0,7.323 B
9/30/2019,T,44.588 B,20.154 B,0,548.796 B,306.233 B,0,7.327 B
12/31/2019,T,46.821 B,22.736 B,0,551.669 B,368.233 B,2.864 B,7.313 B
3/31/2020,T,42.779 B,19.281 B,0,545.354 B,359.308 B,0,7.187 B
6/30/2020,T,40.950 B,17.983 B,0,547.898 B,363.642 B,0,7.145 B
9/30/2020,T,42.340 B,19.839 B,0,538.553 B,352.842 B,13.948 B,7.147 B
12/31/2020,T,16.981 B,22.910 B,0,525.761 B,370.100 B,3.592 B,7.148 B
3/31/2021,T,35.877 B,21.087 B,0,546.985 B,372.499 B,3.347 B,7.161 B
6/30/2021,T,35.740 B,21.099 B,0,544.710 B,395.084 B,2.810 B,7.168 B
9/30/2021,T,31.326 B,17.826 B,0,547.107 B,395.980 B,3.088 B,7.171 B
12/31/2021,T,31.095 B,19.795 B,0,551.622 B,412.340 B,3.464 B,7.171 B
3/31/2022,T,29.712 B,17.557 B,0,577.195 B,420.433 B,3.153 B,7.184 B
6/30/2022,T,29.643 B,12.341 B,0,426.433 B,316.944 B,3.241 B,7.169 B
9/30/2022,T,30.043 B,12.201 B,0,426.463 B,312.399 B,3.935 B,7.153 B
12/31/2022,T,31.343 B,13.571 B,0,402.853 B,337.878 B,3.123 B,7.157 B
4/30/2018,HPQ,14.003 B,11.935 B,356 M,32.087 B,33.950 B,5.557 B,1.611 B
7/31/2018,HPQ,14.586 B,11.301 B,347 M,34.254 B,36.021 B,6.091 B,1.582 B
10/31/2018,HPQ,15.366 B,11.898 B,354 M,34.622 B,35.261 B,6.091 B,1.560 B
1/31/2019,HPQ,14.710 B,12.669 B,344 M,32.490 B,34.327 B,5.649 B,1.539 B
4/30/2019,HPQ,14.036 B,12.098 B,353 M,31.946 B,33.433 B,5.394 B,1.506 B
7/31/2019,HPQ,14.603 B,11.307 B,413 M,32.405 B,33.536 B,5.716 B,1.482 B
10/31/2019,HPQ,15.407 B,11.698 B,389 M,33.467 B,34.660 B,5.734 B,1.458 B
1/31/2020,HPQ,14.618 B,12.483 B,400 M,31.656 B,33.290 B,4.946 B,1.433 B
4/30/2020,HPQ,12.469 B,11.746 B,338 M,33.773 B,34.516 B,6.354 B,1.430 B
7/31/2020,HPQ,14.294 B,9.976 B,359 M,34.244 B,36.230 B,5.896 B,1.373 B
10/31/2020,HPQ,15.258 B,11.901 B,381 M,34.681 B,36.909 B,5.963 B,1.304 B
1/31/2021,HPQ,15.646 B,12.579 B,471 M,34.737 B,37.972 B,6.668 B,1.253 B
4/30/2021,HPQ,15.877 B,12.322 B,514 M,34.549 B,37.909 B,7.502 B,1.201 B
7/31/2021,HPQ,15.289 B,12.437 B,477 M,35.523 B,39.465 B,8.165 B,1.153 B
10/31/2021,HPQ,16.675 B,11.901 B,445 M,38.610 B,40.260 B,7.930 B,1.092 B
1/31/2022,HPQ,17.028 B,13.410 B,418 M,38.912 B,41.240 B,9.018 B,1.060 B
4/30/2022,HPQ,16.490 B,13.643 B,425 M,39.901 B,41.799 B,8.944 B,1.033 B
7/31/2022,HPQ,14.664 B,13.157 B,368 M,39.247 B,41.565 B,8.192 B,1.006 B
10/31/2022,HPQ,14.801 B,11.764 B,382 M,38.587 B,41.505 B,7.595 B,980 M
1/31/2023,HPQ,13.828 B,12.084 B,403 M,36.148 B,39.878 B,7.344 B,985 M
3/31/2018,CHTR,10.657 B,6.836 B,0,146.151 B,107.383 B,0,237.762 M
6/30/2018,CHTR,10.854 B,6.873 B,0,146.251 B,108.808 B,0,234.242 M
9/30/2018,CHTR,10.892 B,7.012 B,0,146.085 B,108.980 B,0,230.555 M
12/31/2018,CHTR,11.231 B,7.139 B,0,146.130 B,109.845 B,0,227.006 M
3/31/2019,CHTR,11.206 B,7.236 B,0,147.257 B,111.523 B,0,224.630 M
6/30/2019,CHTR,11.347 B,7.244 B,0,146.085 B,110.799 B,0,222.392 M
9/30/2019,CHTR,11.450 B,7.435 B,0,145.267 B,112.293 B,0,218.499 M
12/31/2019,CHTR,11.761 B,7.309 B,0,148.188 B,116.743 B,0,212.648 M
3/31/2020,CHTR,11.738 B,7.432 B,0,146.552 B,116.924 B,0,207.831 M
6/30/2020,CHTR,11.696 B,7.297 B,0,145.136 B,115.780 B,0,205.777 M
9/30/2020,CHTR,12.039 B,7.483 B,0,144.193 B,117.287 B,0,202.827 M
12/31/2020,CHTR,12.624 B,7.718 B,0,144.206 B,120.401 B,0,196.907 M
3/31/2021,CHTR,12.522 B,7.711 B,0,143.439 B,122.442 B,0,191.405 M
6/30/2021,CHTR,12.802 B,7.882 B,0,144.026 B,124.684 B,0,185.917 M
9/30/2021,CHTR,13.146 B,7.958 B,0,142.495 B,125.465 B,0,181.925 M
12/31/2021,CHTR,13.212 B,7.931 B,0,142.491 B,128.441 B,0,175.535 M
3/31/2022,CHTR,13.200 B,7.308 B,0,143.948 B,131.888 B,0,170.688 M
6/30/2022,CHTR,13.598 B,7.387 B,0,143.258 B,133.379 B,0,164.050 M
9/30/2022,CHTR,13.550 B,7.386 B,0,143.669 B,134.780 B,0,157.971 M
12/31/2022,CHTR,13.674 B,7.456 B,0,144.523 B,135.404 B,0,153.436 M
3/31/2018,QCOM,5.220 B,2.239 B,1.402 B,64.126 B,40.307 B,1.797 B,1.482 B
6/30/2018,QCOM,5.577 B,2.491 B,1.416 B,62.090 B,39.022 B,1.785 B,1.469 B
9/30/2018,QCOM,5.778 B,2.850 B,1.388 B,32.718 B,31.911 B,1.693 B,1.219 B
12/31/2018,QCOM,4.842 B,2.188 B,1.269 B,34.246 B,30.629 B,1.698 B,1.210 B
3/31/2019,QCOM,4.982 B,2.179 B,1.308 B,34.023 B,30.157 B,1.725 B,1.214 B
6/30/2019,QCOM,9.635 B,2.114 B,1.380 B,34.133 B,28.670 B,1.774 B,1.218 B
9/30/2019,QCOM,4.814 B,2.118 B,1.441 B,32.957 B,28.048 B,1.400 B,1.145 B
12/31/2019,QCOM,5.077 B,2.113 B,1.406 B,33.111 B,28.598 B,1.420 B,1.143 B
3/31/2020,QCOM,5.216 B,2.297 B,1.468 B,31.938 B,28.893 B,1.700 B,1.127 B
6/30/2020,QCOM,4.893 B,2.080 B,1.520 B,32.328 B,29.022 B,2.343 B,1.128 B
9/30/2020,QCOM,8.346 B,2.766 B,1.582 B,35.594 B,29.517 B,2.598 B,1.131 B
12/31/2020,QCOM,8.235 B,3.489 B,1.653 B,37.479 B,30.099 B,2.552 B,1.136 B
3/31/2021,QCOM,7.935 B,3.432 B,1.780 B,37.168 B,29.744 B,2.668 B,1.129 B
6/30/2021,QCOM,8.060 B,3.404 B,1.864 B,38.769 B,30.592 B,3.133 B,1.128 B
9/30/2021,QCOM,9.336 B,3.937 B,1.879 B,41.240 B,31.290 B,3.228 B,1.125 B
12/31/2021,QCOM,10.705 B,4.303 B,1.930 B,42.820 B,31.487 B,3.861 B,1.125 B
3/31/2022,QCOM,11.164 B,4.648 B,2.034 B,44.302 B,30.974 B,4.555 B,1.122 B
6/30/2022,QCOM,10.936 B,4.816 B,2.052 B,47.020 B,30.972 B,5.418 B,1.122 B
9/30/2022,QCOM,11.395 B,4.868 B,2.178 B,49.014 B,31.001 B,6.341 B,1.121 B
12/31/2022,QCOM,9.463 B,4.044 B,2.251 B,50.014 B,31.204 B,6.932 B,1.119 B
5/5/2018,BBY,9.109 B,6.984 B,0,12.082 B,8.662 B,4.964 B,281 M
8/4/2018,BBY,9.379 B,7.150 B,0,11.993 B,8.807 B,5.016 B,276 M
11/3/2018,BBY,9.590 B,7.266 B,0,15 B,11.988 B,8.168 B,272 M
2/2/2019,BBY,14.801 B,11.518 B,0,12.901 B,9.595 B,5.409 B,265.703 M
5/4/2019,BBY,9.142 B,6.973 B,0,14.550 B,11.196 B,5.195 B,267 M
8/3/2019,BBY,9.536 B,7.253 B,0,14.978 B,11.693 B,5.208 B,265 M
11/2/2019,BBY,9.764 B,7.403 B,0,16.926 B,13.801 B,7.569 B,260 M
2/1/2020,BBY,15.196 B,11.961 B,0,15.591 B,12.112 B,5.174 B,256.494 M
5/2/2020,BBY,8.562 B,6.597 B,0,15.605 B,12.195 B,3.993 B,257 M
8/1/2020,BBY,9.910 B,7.640 B,0,17.412 B,13.634 B,4.136 B,258 M
10/31/2020,BBY,11.853 B,9.058 B,0,21.202 B,17.116 B,7.459 B,258 M
1/30/2021,BBY,16.937 B,13.394 B,0,19.067 B,14.480 B,5.612 B,257 M
5/1/2021,BBY,11.637 B,8.922 B,0,17.705 B,13.547 B,5.721 B,250.400 M
7/31/2021,BBY,11.849 B,9.039 B,0,18.579 B,14.244 B,6.417 B,247.300 M
10/30/2021,BBY,11.910 B,9.108 B,0,20.102 B,15.824 B,8.553 B,243.800 M
1/29/2022,BBY,16.365 B,13.052 B,0,17.504 B,14.484 B,5.965 B,227.400 M
4/30/2022,BBY,10.647 B,8.294 B,0,15.251 B,12.484 B,6.258 B,224.600 M
7/30/2022,BBY,10.329 B,8.042 B,0,15.419 B,12.527 B,6.043 B,225.100 M
10/29/2022,BBY,10.587 B,8.255 B,0,17.021 B,14.028 B,7.294 B,225.200 M
1/28/2023,BBY,14.735 B,11.795 B,0,15.803 B,13.008 B,5.140 B,218.100 M
3/31/2018,FISV,1.440 B,759 M,0,10.167 B,7.196 B,0,413.100 M
6/30/2018,FISV,1.420 B,739 M,0,10.218 B,7.368 B,0,408.400 M
9/30/2018,FISV,1.412 B,749 M,0,10.748 B,8.087 B,0,403.800 M
12/31/2018,FISV,1.551 B,822 M,0,11.262 B,8.969 B,0,396.800 M
3/31/2019,FISV,1.502 B,798 M,0,11.676 B,9.282 B,0,391.700 M
6/30/2019,FISV,1.448 B,785 M,0,19.640 B,17.094 B,0,392.500 M
9/30/2019,FISV,2.978 B,1.617 B,0,77.864 B,44.012 B,0,584.800 M
12/31/2019,FISV,4.050 B,2.109 B,0,77.539 B,42.682 B,0,680.300 M
3/31/2020,FISV,4.037 B,2.167 B,0,72.598 B,39.052 B,0,678.100 M
6/30/2020,FISV,3.312 B,1.920 B,0,77.093 B,43.807 B,0,670 M
9/30/2020,FISV,3.669 B,1.868 B,0,72.372 B,39.683 B,0,669.800 M
12/31/2020,FISV,3.834 B,1.857 B,0,74.619 B,41.290 B,348 M,670.600 M
3/31/2021,FISV,3.650 B,1.907 B,0,74.840 B,41.995 B,0,668.600 M
6/30/2021,FISV,3.876 B,1.967 B,0,75.776 B,42.983 B,0,663.700 M
9/30/2021,FISV,3.991 B,2.051 B,0,75.767 B,43.183 B,0,661.400 M
12/31/2021,FISV,4.780 B,2.203 B,0,76.249 B,44.299 B,410 M,656.600 M
3/31/2022,FISV,3.970 B,1.972 B,0,75.470 B,43.328 B,0,650.800 M
6/30/2022,FISV,4.274 B,2.044 B,0,77.212 B,45.242 B,0,645.200 M
9/30/2022,FISV,4.328 B,1.996 B,0,75.640 B,44.497 B,0,639.600 M
12/31/2022,FISV,5.165 B,1.980 B,0,83.869 B,52.181 B,0,633.600 M
3/31/2018,CTSH,3.912 B,2.401 B,0,15.045 B,4.057 B,0,586 M
6/30/2018,CTSH,4.006 B,2.417 B,0,14.806 B,4.158 B,0,580 M
9/30/2018,CTSH,4.078 B,2.480 B,0,15.274 B,4.296 B,0,580 M
12/31/2018,CTSH,4.129 B,2.540 B,0,15.846 B,4.422 B,0,577 M
3/31/2019,CTSH,4.110 B,2.575 B,0,16.096 B,4.960 B,0,569 M
6/30/2019,CTSH,4.141 B,2.629 B,0,15.517 B,4.960 B,0,552 M
9/30/2019,CTSH,4.248 B,2.681 B,0,15.844 B,5.142 B,0,550 M
12/31/2019,CTSH,4.284 B,2.749 B,0,16.204 B,5.182 B,0,548 M
3/31/2020,CTSH,4.225 B,2.747 B,0,17.429 B,6.816 B,0,541 M
6/30/2020,CTSH,4 B,2.615 B,0,18.216 B,7.244 B,0,542 M
9/30/2020,CTSH,4.243 B,2.647 B,0,18.787 B,7.647 B,0,539 M
12/31/2020,CTSH,4.184 B,2.662 B,0,16.923 B,6.087 B,0,530 M
3/31/2021,CTSH,4.401 B,2.764 B,0,16.660 B,5.623 B,0,528 M
6/30/2021,CTSH,4.585 B,2.863 B,0,16.829 B,5.624 B,0,525 M
9/30/2021,CTSH,4.744 B,2.947 B,0,17.232 B,5.686 B,0,525 M
12/31/2021,CTSH,4.777 B,3.030 B,0,17.852 B,5.861 B,0,525 M
3/31/2022,CTSH,4.826 B,3.097 B,0,17.434 B,5.461 B,0,521 M
6/30/2022,CTSH,4.906 B,3.119 B,0,17.258 B,5.308 B,0,518 M
9/30/2022,CTSH,4.857 B,3.080 B,0,17.347 B,5.389 B,0,514 M
12/31/2022,CTSH,4.839 B,3.152 B,0,17.852 B,5.543 B,0,509 M
3/31/2018,DISH,6.880 B,196.011 M,6 M,,,,
6/30/2018,DISH,3.459 B,183.262 M,6 M,29.650 B,21.423 B,329.507 M,467.425 M
9/30/2018,DISH,3.397 B,186.878 M,6 M,30.137 B,21.454 B,304.944 M,467.570 M
12/31/2018,DISH,3.307 B,203.156 M,6 M,30.587 B,21.533 B,290.733 M,467.752 M
3/31/2019,DISH,3.181 B,193.899 M,5 M,31.686 B,22.254 B,309.251 M,467.953 M
6/30/2019,DISH,3.205 B,238.078 M,6 M,32.284 B,22.449 B,331.138 M,469.655 M
9/30/2019,DISH,3.160 B,285.801 M,4 M,31.771 B,21.074 B,314.620 M,477.495 M
12/31/2019,DISH,3.241 B,276.748 M,6 M,33.231 B,21.115 B,322.898 M,503.420 M
3/31/2020,DISH,3.196 B,253.873 M,6 M,33.673 B,21.436 B,329.386 M,523.152 M
6/30/2020,DISH,3.170 B,199.724 M,5 M,33.497 B,20.732 B,315.369 M,524.292 M
9/30/2020,DISH,4.527 B,2.489 B,6 M,36.100 B,22.775 B,516.216 M,525.532 M
12/31/2020,DISH,4.557 B,2.589 B,7 M,38.240 B,24.109 B,380.349 M,526.057 M
3/31/2021,DISH,4.494 B,2.538 B,7 M,38.813 B,24.788 B,375.076 M,526.570 M
6/30/2021,DISH,4.483 B,2.536 B,7 M,39.624 B,24.898 B,385.396 M,527.690 M
9/30/2021,DISH,4.446 B,2.567 B,7 M,41.214 B,25.876 B,470.826 M,528.229 M
12/31/2021,DISH,4.447 B,2.545 B,8 M,48.002 B,32.079 B,534.937 M,528.867 M
3/31/2022,DISH,4.328 B,2.483 B,10 M,49.202 B,32.810 B,536.893 M,529.067 M
6/30/2022,DISH,4.208 B,2.329 B,12 M,49.858 B,32.880 B,585.758 M,530.091 M
9/30/2022,DISH,4.092 B,2.382 B,12 M,49.003 B,31.566 B,570.545 M,530.436 M
12/31/2022,DISH,4.043 B,2.365 B,11 M,52.607 B,34.198 B,502.373 M,530.846 M
1/14/2022,DISH,,,,36.216 B,0,0,0
5/5/2018,ADI,1.513 B,491.038 M,289.381 M,20.776 B,10.191 B,551.220 M,370.897 M
8/4/2018,ADI,1.573 B,497.557 M,291.551 M,20.549 B,9.692 B,563.645 M,371.670 M
11/3/2018,ADI,1.597 B,490.585 M,295.609 M,20.438 B,9.170 B,586.760 M,370.160 M
2/2/2019,ADI,1.541 B,501.445 M,287.382 M,21.828 B,10.243 B,593.211 M,368.314 M
5/4/2019,ADI,1.527 B,492.510 M,285.846 M,21.776 B,10.034 B,608.085 M,369.761 M
8/3/2019,ADI,1.480 B,482.332 M,280.102 M,21.567 B,9.776 B,638.305 M,369.406 M
11/2/2019,ADI,1.392 B,501.028 M,277.018 M,21.393 B,9.683 B,609.886 M,368.302 M
2/1/2020,ADI,1.304 B,455.423 M,257.073 M,21.377 B,9.687 B,588.503 M,368.220 M
5/2/2020,ADI,1.317 B,470.386 M,252.413 M,21.351 B,9.760 B,590.268 M,368.425 M
8/1/2020,ADI,1.456 B,483.558 M,260.794 M,21.600 B,9.822 B,612.646 M,369.166 M
10/31/2020,ADI,1.478 B,503.211 M,280.239 M,21.469 B,9.471 B,608.260 M,369.485 M
1/30/2021,ADI,1.558 B,513.087 M,288.150 M,21.440 B,9.352 B,618.640 M,368.894 M
5/1/2021,ADI,1.661 B,524.770 M,302.238 M,21.588 B,9.421 B,641.202 M,368.827 M
7/31/2021,ADI,1.759 B,537.669 M,306.617 M,21.641 B,9.377 B,657.520 M,368.214 M
10/30/2021,ADI,2.070 B,1.218 B,399.121 M,52.322 B,14.330 B,1.201 B,525.331 M
1/29/2022,ADI,2.632 B,1.282 B,426.780 M,51.216 B,13.788 B,972.571 M,523.315 M
4/30/2022,ADI,2.923 B,1.028 B,420.901 M,50.801 B,13.701 B,1.075 B,519.806 M
7/30/2022,ADI,3.059 B,1.067 B,431.829 M,50.346 B,13.708 B,1.203 B,514.342 M
10/29/2022,ADI,3.196 B,1.105 B,421.008 M,50.302 B,13.837 B,1.400 B,509.296 M
1/28/2023,ADI,3.189 B,1.125 B,414.095 M,50.235 B,13.703 B,1.523 B,505.852 M
3/31/2018,ADP,3.696 B,2.079 B,162.500 M,44.066 B,40.036 B,0,441.700 M
6/30/2018,ADP,3.316 B,1.942 B,152.600 M,38.849 B,34.113 B,0,438.800 M
9/30/2018,ADP,3.310 B,1.928 B,158 M,37.417 B,32.738 B,0,438.200 M
12/31/2018,ADP,3.492 B,2.000 B,156.100 M,38.806 B,34.042 B,0,436.200 M
3/31/2019,ADP,3.828 B,2.093 B,0,48.196 B,42.950 B,0,435.500 M
6/30/2019,ADP,3.479 B,2.001 B,0,41.888 B,36.488 B,0,434.200 M
9/30/2019,ADP,3.496 B,2.045 B,0,37.715 B,32.354 B,0,433.400 M
12/31/2019,ADP,3.670 B,2.094 B,0,49.059 B,43.695 B,0,431.800 M
3/31/2020,ADP,4.048 B,2.239 B,0,43.383 B,37.893 B,0,429.800 M
6/30/2020,ADP,3.377 B,2.067 B,0,39.166 B,33.413 B,0,429.900 M
9/30/2020,ADP,3.471 B,2.034 B,0,42.390 B,36.581 B,0,429.300 M
12/31/2020,ADP,3.682 B,2.122 B,0,49.326 B,43.426 B,0,428.100 M
3/31/2021,ADP,4.088 B,2.278 B,0,54.408 B,48.734 B,0,426 M
6/30/2021,ADP,3.768 B,2.205 B,0,48.773 B,43.102 B,0,423.700 M
9/30/2021,ADP,3.815 B,2.223 B,0,59.987 B,54.636 B,0,422 M
12/31/2021,ADP,4.007 B,2.341 B,0,59.103 B,54.053 B,0,420.400 M
3/31/2022,ADP,4.494 B,2.512 B,0,72.068 B,67.875 B,0,418.200 M
6/30/2022,ADP,4.183 B,2.386 B,0,63.068 B,59.843 B,0,416.100 M
9/30/2022,ADP,4.163 B,2.394 B,0,46.365 B,43.788 B,0,415.200 M
12/31/2022,ADP,4.322 B,2.451 B,0,54.453 B,51.466 B,0,414.400 M
4/30/2018,ZM,60.070 M,11.660 M,6.264 M,,,,
7/31/2018,ZM,74.526 M,12.973 M,7.049 M,,,,
10/31/2018,ZM,90.121 M,16.843 M,8.893 M,,,,
1/31/2019,ZM,105.800 M,19.525 M,10.808 M,,,,
4/30/2019,ZM,121.988 M,24.104 M,13.783 M,999.052 M,279.324 M,0,109.709 M
7/31/2019,ZM,145.826 M,27.900 M,15.054 M,1.070 B,326.127 M,0,271.813 M
10/31/2019,ZM,166.593 M,30.845 M,17.573 M,1.188 B,415.540 M,0,273.317 M
1/31/2020,ZM,188.251 M,32.547 M,20.669 M,1.290 B,455.902 M,0,276.679 M
4/30/2020,ZM,328.167 M,103.707 M,26.389 M,2.068 B,1.166 B,0,279.891 M
7/31/2020,ZM,663.520 M,192.271 M,42.734 M,2.625 B,1.426 B,0,282.851 M
10/31/2020,ZM,777.196 M,258.727 M,42.582 M,3.050 B,1.550 B,0,284.783 M
1/31/2021,ZM,882.485 M,267.284 M,52.375 M,5.298 B,1.437 B,0,287.721 M
4/30/2021,ZM,956.237 M,264.994 M,65.175 M,5.889 B,1.696 B,0,293.795 M
7/31/2021,ZM,1.021 B,261.256 M,82.311 M,6.509 B,1.851 B,0,295.713 M
10/31/2021,ZM,1.051 B,270.957 M,98.508 M,6.979 B,1.865 B,0,297.375 M
1/31/2022,ZM,1.071 B,257.347 M,116.996 M,7.551 B,1.771 B,0,298.397 M
4/30/2022,ZM,1.074 B,261.821 M,144.291 M,7.957 B,2.009 B,0,299.147 M
7/31/2022,ZM,1.099 B,273.611 M,172.564 M,8.048 B,2.057 B,0,298.553 M
10/31/2022,ZM,1.102 B,270.665 M,195.946 M,7.837 B,2.081 B,0,295.537 M
1/31/2023,ZM,1.118 B,294.354 M,261.258 M,8.128 B,1.921 B,0,292.944 M
5/31/2018,MU,7.797 B,3.074 B,603 M,41.845 B,12.322 B,3.369 B,1.160 B
8/30/2018,MU,8.440 B,3.289 B,567 M,43.376 B,10.112 B,3.595 B,1.161 B
11/29/2018,MU,7.889 B,3.298 B,611 M,44.595 B,9.757 B,3.876 B,1.120 B
2/28/2019,MU,5.805 B,2.971 B,601 M,47.487 B,11.958 B,4.390 B,1.106 B
5/30/2019,MU,4.758 B,2.960 B,606 M,46.288 B,9.999 B,4.905 B,1.104 B
8/29/2019,MU,4.870 B,3.475 B,623 M,48.887 B,12.019 B,5.118 B,1.106 B
11/28/2019,MU,5.137 B,3.778 B,640 M,49.649 B,13.051 B,4.943 B,1.108 B
2/27/2020,MU,4.749 B,3.442 B,681 M,49.648 B,12.527 B,5.208 B,1.112 B
5/28/2020,MU,5.384 B,3.675 B,649 M,52.005 B,14.087 B,5.405 B,1.112 B
9/3/2020,MU,6.016 B,3.988 B,630 M,53.678 B,14.682 B,5.373 B,1.113 B
12/3/2020,MU,5.725 B,4.037 B,647 M,53.691 B,13.784 B,5.521 B,1.117 B
3/4/2021,MU,6.194 B,4.587 B,641 M,54.135 B,13.472 B,4.743 B,1.121 B
6/3/2021,MU,7.375 B,4.296 B,670 M,55.943 B,13.684 B,4.537 B,1.120 B
9/2/2021,MU,8.251 B,4.362 B,705 M,58.849 B,14.916 B,4.487 B,1.119 B
12/2/2021,MU,7.559 B,4.122 B,712 M,61.246 B,15.338 B,4.827 B,1.120 B
3/3/2022,MU,7.731 B,4.110 B,792 M,63.696 B,15.851 B,5.383 B,1.118 B
6/2/2022,MU,8.642 B,4.607 B,773 M,65.296 B,16.015 B,5.629 B,1.105 B
9/1/2022,MU,6.643 B,4.021 B,839 M,66.283 B,16.376 B,6.663 B,1.094 B
12/1/2022,MU,4.085 B,3.192 B,849 M,67.874 B,18.568 B,8.359 B,1.091 B
3/2/2023,MU,3.604 B,4.899 B,788 M,66.520 B,19.263 B,8.129 B,1.094 B
4/29/2018,AMAT,4.579 B,2.523 B,509 M,18.498 B,11.456 B,3.494 B,1.029 B
7/29/2018,AMAT,4.162 B,2.298 B,505 M,17.883 B,11.058 B,3.681 B,994 M
10/28/2018,AMAT,3.759 B,2.102 B,519 M,17.633 B,10.788 B,3.721 B,967 M
1/27/2019,AMAT,3.753 B,2.088 B,516 M,18.922 B,10.713 B,3.703 B,957 M
4/28/2019,AMAT,3.539 B,2.009 B,508 M,18.775 B,10.574 B,3.677 B,942 M
7/28/2019,AMAT,3.562 B,2.005 B,515 M,18.805 B,10.689 B,3.539 B,929 M
10/27/2019,AMAT,3.754 B,2.120 B,515 M,19.024 B,10.810 B,3.474 B,916 M
1/26/2020,AMAT,4.162 B,2.304 B,552 M,19.767 B,11.107 B,3.472 B,916 M
4/26/2020,AMAT,3.957 B,2.208 B,550 M,21.815 B,12.791 B,3.725 B,917 M
7/26/2020,AMAT,4.395 B,2.440 B,572 M,21.171 B,11.602 B,3.952 B,915 M
10/25/2020,AMAT,4.688 B,2.558 B,560 M,22.353 B,11.775 B,3.904 B,914 M
1/31/2021,AMAT,5.162 B,2.813 B,606 M,23.305 B,11.832 B,3.925 B,915 M
5/2/2021,AMAT,5.549 B,2.929 B,617 M,24.085 B,12.092 B,4.053 B,918 M
8/1/2021,AMAT,6.148 B,3.229 B,640 M,24.479 B,12.419 B,4.117 B,908 M
10/31/2021,AMAT,6.021 B,3.178 B,622 M,25.825 B,13.578 B,4.309 B,892 M
1/30/2022,AMAT,6.206 B,3.312 B,654 M,25.428 B,13.538 B,4.526 B,889 M
5/1/2022,AMAT,6.245 B,3.318 B,686 M,25.459 B,13.880 B,5.009 B,878 M
7/31/2022,AMAT,6.484 B,3.514 B,705 M,26.161 B,14.091 B,5.506 B,864 M
10/30/2022,AMAT,6.706 B,3.648 B,726 M,26.726 B,14.532 B,5.932 B,844 M
1/29/2023,AMAT,6.643 B,3.594 B,771 M,27.959 B,14.539 B,6.054 B,845 M
6/30/2018,FSLY,34.448 M,15.695 M,8.099 M,,,,
9/30/2018,FSLY,36.820 M,16.711 M,9.233 M,,,,
12/31/2018,FSLY,40.797 M,17.709 M,9.307 M,,,,
3/31/2019,FSLY,45.556 M,19.718 M,10.176 M,,,,
6/30/2019,FSLY,46.173 M,20.784 M,11.244 M,356.376 M,89.054 M,0,93.429 M
9/30/2019,FSLY,49.797 M,22.292 M,12.121 M,327.320 M,67.905 M,0,93.347 M
12/31/2019,FSLY,58.936 M,25.528 M,12.951 M,320.969 M,63.317 M,0,94.818 M
3/31/2020,FSLY,62.924 M,27.265 M,14.298 M,323.846 M,67.796 M,0,95.401 M
6/30/2020,FSLY,74.663 M,29.697 M,16.655 M,607.864 M,65.699 M,0,99.835 M
9/30/2020,FSLY,70.638 M,29.292 M,18.271 M,631.518 M,96.398 M,0,105.942 M
12/31/2020,FSLY,82.649 M,33.753 M,25.590 M,1.220 B,158.086 M,0,113.623 M
3/31/2021,FSLY,84.852 M,37.494 M,28.988 M,2.138 B,1.093 B,0,114.134 M
6/30/2021,FSLY,85.026 M,40.320 M,30.346 M,2.137 B,1.108 B,0,115.326 M
