,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
7/31/2019,SMAR,66.758 M,12.665 M,22.210 M,757.231 M,220.290 M,0,116.348 M
10/31/2019,SMAR,74.335 M,14.098 M,25.049 M,774.777 M,247.740 M,0,117.370 M
1/31/2020,SMAR,72.107 M,15.652 M,27.973 M,797.714 M,283.654 M,0,118.194 M
4/30/2020,SMAR,86.717 M,18.441 M,25.991 M,782.606 M,272.243 M,0,118.868 M
7/31/2020,SMAR,91.314 M,19.018 M,28.089 M,788.883 M,283.158 M,0,119.921 M
10/31/2020,SMAR,98.947 M,23.730 M,32.369 M,831.529 M,302.947 M,0,121.203 M
1/31/2021,SMAR,108.582 M,24.350 M,32.273 M,911.789 M,384.860 M,0,122.634 M
4/30/2021,SMAR,117.412 M,26.572 M,36.474 M,903.476 M,379.966 M,0,124.110 M
7/31/2021,SMAR,131.748 M,27.466 M,39.079 M,920.733 M,409.585 M,0,125.210 M
10/31/2021,SMAR,144.640 M,29.415 M,41.151 M,936.106 M,424.353 M,0,126.118 M
1/31/2022,SMAR,156.439 M,33.020 M,48.736 M,1.003 B,498.053 M,0,127.057 M
4/30/2022,SMAR,168.109 M,37.158 M,52.519 M,981.958 M,500.982 M,0,128.519 M
7/31/2022,SMAR,187.972 M,40.551 M,53.784 M,994.249 M,519.546 M,0,129.645 M
10/31/2022,SMAR,202.081 M,42.863 M,50.526 M,1.014 B,541.848 M,0,130.634 M
1/31/2023,SMAR,209.129 M,44.713 M,58.376 M,1.110 B,624.551 M,0,131.451 M
5/6/2018,AVGO,5.014 B,2.463 B,936 M,54.936 B,22.869 B,1.235 B,436.235 M
8/5/2018,AVGO,5.063 B,2.444 B,959 M,50.372 B,22.920 B,1.216 B,413.297 M
11/4/2018,AVGO,5.444 B,2.509 B,948 M,50.124 B,23.467 B,1.124 B,407.638 M
2/3/2019,AVGO,5.789 B,2.581 B,1.133 B,72.110 B,48.886 B,1.074 B,396.154 M
5/5/2019,AVGO,5.517 B,2.428 B,1.151 B,70.916 B,48.744 B,1.034 B,398.514 M
8/4/2019,AVGO,5.515 B,2.481 B,1.235 B,69.767 B,48.264 B,1.091 B,397.613 M
11/3/2019,AVGO,5.776 B,2.624 B,1.177 B,67.493 B,42.523 B,874 M,397.561 M
2/2/2020,AVGO,5.858 B,2.594 B,1.289 B,81.006 B,56.610 B,944 M,399.431 M
5/3/2020,AVGO,5.742 B,2.553 B,1.269 B,81.548 B,57.578 B,953 M,402.103 M
8/2/2020,AVGO,5.821 B,2.505 B,1.228 B,79.298 B,55.713 B,1.081 B,404 M
11/1/2020,AVGO,6.467 B,2.720 B,1.182 B,75.933 B,52.032 B,1.003 B,407 M
1/31/2021,AVGO,6.655 B,2.703 B,1.211 B,76.972 B,52.973 B,952 M,408 M
5/2/2021,AVGO,6.610 B,2.553 B,1.238 B,75.524 B,51.558 B,1.004 B,410 M
8/1/2021,AVGO,6.778 B,2.581 B,1.205 B,75.880 B,51.513 B,1.160 B,412 M
10/31/2021,AVGO,7.407 B,2.769 B,1.200 B,75.570 B,50.581 B,1.297 B,413 M
1/30/2022,AVGO,7.706 B,2.657 B,1.206 B,73.224 B,50.230 B,1.520 B,410 M
5/1/2022,AVGO,8.103 B,2.664 B,1.261 B,71.719 B,50.729 B,1.668 B,406 M
7/31/2022,AVGO,8.464 B,2.783 B,1.255 B,71.326 B,50.423 B,1.838 B,405 M
10/30/2022,AVGO,8.930 B,3.004 B,1.197 B,73.249 B,50.540 B,1.925 B,418 M
1/29/2023,AVGO,8.915 B,2.911 B,1.195 B,72.976 B,49.666 B,1.899 B,417 M
5/31/2018,ACN,10.695 B,7.363 B,0,23.251 B,13.453 B,0,639.217 M
8/31/2018,ACN,10.504 B,7.419 B,790.779 M,24.449 B,14.084 B,0,640.575 M
11/30/2018,ACN,10.606 B,7.308 B,0,26.706 B,14.028 B,0,638.877 M
2/28/2019,ACN,10.454 B,7.400 B,0,27.390 B,14.053 B,0,638.640 M
5/31/2019,ACN,11.100 B,7.571 B,0,28.156 B,14.419 B,0,637.831 M
